,user_name,quote
238,Luke,I think my uncle knew him.  He said he was dead.
239,Ben,"Oh, he's not dead, no... not yet."
240,Luke,You know him!
241,Ben,"Well of course, of course I know him.  He's me!  I haven't gone by the name Obi-Wan since oh, before you were born."
242,Luke,Then the droid does belong to you.
243,Ben,Don't seem to remember ever owning a droid.  Very interesting... 
244,Ben,I think we better get indoors.  The Sand People are easily startled but they will soon be back and in greater numbers.
245,Luke,... Threepio!
246,Threepio,Where am I?  I must have taken a bad step...
247,Luke,Can you stand?  We've got to get out of here before the Sand People return.
248,Threepio,"I don't think I can make it.  You go on, Master Luke.  There's no sense in you risking yourself on my account.  I'm done for."
249,Luke,"No, you're not.  What kind of talk is that?"
250,Ben,"Quickly, son... they're on the move."
251,Luke,"No, my father didn't fight in the wars.  He was a navigator on a spice freighter."
252,Ben,That's what your uncle told you.  He didn't hold with your father's ideals.  Thought he should have stayed here and not gotten involved.
253,Luke,You fought in the Clone Wars?
254,Ben,"Yes, I was once a Jedi Knight the same as your father."
255,Luke,I wish I'd known him.
256,Ben,"He was the best star-pilot in the galaxy, and a cunning warrior.  I understand you've become quite a good pilot yourself.  And he was a good friend.  Which reminds me..."
257,Ben,"I have something here for you.  Your father wanted you to have this when you were old enough, but your uncle wouldn't allow it.  He feared you might follow old Obi-Wan on some damned-fool idealistic crusade like your father did. "
258,Threepio,"Sir, if you'll not be needing me, I'll close down for awhile."
259,Luke,"Sure, go ahead."
260,Luke,What is it?
261,Ben,Your fathers lightsaber.  This is the weapon of a Jedi Knight.  Not as clumsy or as random as a blaster.
262,Ben,"An elegant weapon for a morecivilized time.  For over a thousand generations the Jedi Knights were the guardians of peace and justice in the Old Republic.  Before the dark times, before the Empire."
263,Luke,How did my father die?
264,Ben,"A young Jedi named Darth Vader, who was a pupil of mine until he turned to evil, helped the Empire hunt down and destroy the Jedi Knights.  He betrayed and murdered your father.  Now the Jedi are all but extinct.  Vader was seduced by the dark side of the Force."
265,Luke,The Force?
266,Ben,"Well, the Force is what gives the Jedi his power.  It's an energy field created by all living things.  It surrounds us and penetrates us.  It binds the galaxy together."
267,Ben,"Now, let's see if we can't figure out what you are, my little friend.  And where you come from."
268,Luke,I saw part of the message he was...
269,Ben,I seem to have found it.
270,Leia,"General Kenobi, years ago you served my father in the Clone Wars.  Now he begs you to help him in his struggle against the Empire.  I regret that I am unable to present my father's request to you in person, but my ship has fallen under attack and I'm afraid my mission to bring you to Alderaan has failed.  I have placed information vital to the survival of the Rebellion into the memory systems of this R2 unit.  My father will know how to retrieve it.  You must see this droid safely delivered to him on Alderaan.  This is our most desperate hour.  Help me, Obi-Wan Kenobi, you're my only hope."
271,Ben,You must learn the ways of the Force if you're to come with me to Alderaan.
272,Luke,"Alderaan?  I'm not going to Alderaan.  I've got to go home.  It's late, I'm in for it as it is."
273,Ben,"I need your help, Luke.  I'm getting too old for this sort of thing.She needs your help."
274,Luke,I can't get involved!  I've got work to do!  It's not that I like the Empire.  I hate it!  But there's nothing I can do about it right now.  It's such a long way from here.
275,Ben,That's your uncle talking.
276,Luke,"Oh, God, my uncle.  How am I ever going to explain this?"
277,Ben,"Learn about the Force, Luke."
278,Luke,"Look, I can take you as far as Anchorhead.  You can get a transport there to Mos Eisley or wherever you're going."
279,Ben,"You must do what you feel is right, of course."
280,Tagge,Until this battle station is fully operational we are vulnerable.  The Rebel Alliance is too well equipped.  They're more dangerous than you realize.
281,Motti,"Dangerous to your starfleet, Commander; not to this battle station!"
282,Tagge,The Rebellion will continue to gain support in the Imperial Senate as long as....
283,Tarkin,The Imperial Senate will no longer be of any concern to us.  I've just received word that the Emperor has dissolved the council permanently.  The last remnants of the Old Republic have been swept away.
284,Tagge,That's impossible!  How will the Emperor maintain control without the bureaucracy?
285,Tarkin,The regional governors now have direct control over territories.  Fear will keep the local systems in line.  Fear of this battle station.
286,Tagge,"And what of the Rebellion?  If the Rebels have obtained a complete technical readout of this station, it is possible, however unlikely, that they might find a weakness and exploit it."
287,Vader,The plans you refer to will soon be back in our hands.
288,Motti,"Any attack made by the Rebels against this station would be a useless gesture, no matter what technical data they've obtained.  This station is now the ultimate power in the universe.  I suggest we use it!"
289,Vader,Don't be too proud of this technological terror you've constructed.  The ability to destroy a planet is insignificant next to the power of the Force.
290,Motti,"Don't try to frighten us with your sorcerer's ways, Lord Vader.  Your sad devotion to that ancient religion has not helped you conjure up the stolen data tapes, or given you clairvoyance enough to find the Rebel's hidden fort..."
291,Vader,I find your lack of faith disturbing.
292,Tarkin,"Enough of this!  Vader, release him!"
293,Vader,As you wish.
294,Tarkin,This bickering is pointless.  Lord Vader will provide us with the location of the Rebel fortress by the time this station is operational.  We will then crush the Rebellion with one swift stroke.
295,Luke,"It looks like Sand People did this, all right.  Look, here are gaffi sticks, bantha tracks.  It's just... I never heard of them hitting anything this big before."
296,Ben,They didn't.  But we are meant to think they did.  These tracks are side by side.  Sand People always ride single file to hide there numbers.
297,Luke,These are the same Jawas that sold us Artoo and Threepio.
298,Ben,"And these blast points, too accurate for Sand People.  Only Imperial stormtroopers are so precise."
299,Luke,Why would Imperial troops want to slaughter Jawas?
300,Luke,"If they traced the robots here, they may have learned who they sold them to.  And that would lead them back home!"
301,Ben,"Wait, Luke!  It's too dangerous."
302,Luke,Uncle Owen!  Aunt Beru!  Uncle Owen!
303,Vader,"And, now Your Highness, we will discuss the location of your hidden Rebel base."
304,Ben,"There's nothing you could have done, Luke, had you been there.  You'd have been killed, too, and the droids would now be in the hands of the Empire."
305,Luke,I want to come with you to Alderaan.  There's nothing here for me now.  I want to learn the ways of the Force and become a Jedi like my father.
306,Ben,Mos Eisley Spaceport.  You will never find a more wretched hive of scum and villainy.  We must be cautious.
307,Trooper,How long have you had these droids?
308,Luke,About three or four seasons.
309,Ben,They're for sale if you want them.
310,Trooper,Let me see your identification.
311,Ben,You don't need to see his identification.
312,Trooper,We don't need to see his identification.
313,Ben,looking for.
314,Trooper,These are not the droids we're looking for.
315,Ben,He can go about his business.
316,Trooper,You can go about your business.
317,Ben,Move along.
318,Trooper,Move along.  Move along.
319,Threepio,I can't abide these Jawas.  Disgusting creatures.
320,Luke,"Go on, go on.  I can't understand how we got by those troopers.  I thought we were dead."
321,Ben,The Force can have a strong influence on the weak-minded.  You will find it a powerful ally.
322,Luke,Do you really think we're going to find a pilot here that'll take us to Alderaan?
323,Ben,"Well, most of the best freighter pilots can be found here.  Only watch your step.  This place can be a little rough."
324,Luke,I'm ready for anything.
325,Threepio,"Come along, Artoo."
326,Bartender,We don't serve their kind here!
327,Luke,What?
328,Bartender,Your droids. They'll have to wait outside.  We don't want them here.
329,Luke,"Listen, why don't you wait out by the speeder.  We don't want any trouble."
330,Threepio,I heartily agree with you sir.
331,Creature,Negola dewaghi wooldugger?!?
332,Human,He doesn't like you.
333,Luke,I'm sorry.
334,Human,I don't like you either
335,Human,Don't insult us.  You just watch yourself.  We're wanted men.  I have the death sentence on twelve systems.
336,Luke,I'll be careful than.
337,Human,You'll be dead.
338,Ben,This little one isn't worth the effort.  Come let me buy you something...
339,Bartender,No blasters!  No blaster!
340,Ben,This is Chewbacca.  He's first-mate on a ship that might suit our needs.
341,Threepio,I don't like the look of this.
342,Han,Han Solo.  I'm captain of the Millennium Falcon.  Chewie here tells me you're looking for passage to the Alderaan system.
343,Ben,"Yes, indeed.  If it's a fast ship."
344,Han,Fast ship?  You've never heard of the Millennium Falcon?
345,Ben,Should I have?
346,Han,It's the ship that made the Kessel run in less than twelve parsecs!
347,Han,"I've outrun Imperial starships, not the local bulk-cruisers, mind you.  I'm talking about the big Corellian ships now.  She's fast enough for you, old man.  What's the cargo?"
348,Ben,"Only passengers.  Myself, the boy, two droids, and no questions asked."
349,Han,What is it?  Some kind of local trouble?
350,Ben,Let's just say we'd like to avoid any Imperial entanglements.
351,Han,"Well, that's the real trick, isn't it?  And it's going to cost you something extra.  Ten thousand in advance."
352,Luke,Ten thousand?  We could almost buy our own ship for that!
353,Han,"But who's going to fly it, kid!  You?"
354,Luke,You bet I could.  I'm not such a bad pilot myself!  We don't have to sit here and listen...
355,Ben,"We haven't that much with us.  But we could pay you two thousand now, plus fifteen when we reach Alderaan."
356,Han,"Seventeen, huh!"
357,Han,Okay.  You guys got yourself a ship.  We'll leave as soon as you're ready.  Docking bay Ninety-four.
358,Ben,Ninety-four.
359,Han,Looks like somebody's beginning to take an interest in your handiwork.
360,Trooper,"All right, we'll check it out."
361,Han,Seventeen thousand!  Those guys must really be desperate.  This could really save my neck.  Get back to the ship and get her ready.
362,Ben,You'll have to sell your speeder.
363,Luke,That's okay.  I'm never coming back to this planet again.
364,Greedo,"Going somewhere, Solo?"
365,Han,"Yes, Greedo.  As a matter of fact, I was just going to see your boss.  Tell Jabba that I've got his money."
366,Greedo,"It's too late.  You should have paid him when you had the chance.  Jabba's put a price on your head, so large that every bounty hunter in the galaxy will be looking for you.  I'm lucky I found you first."
367,Han,"Yeah, but this time I got the money."
368,Greedo,"If you give it to me, I might forget I found you."
369,Han,I don't have it with me.  Tell Jabba...
370,Greedo,Jabba's through with you.  He has no time for smugglers who drop their shipments at the first sign of an Imperial cruiser.
371,Han,Even I get boarded sometimes.  Do you think I had a choice?
372,Greedo,You can tell that to Jabba.  He may only take your ship.
373,Han,Over my dead body.
374,Greedo,That's the idea I've been looking forward to killing you for a long time.
375,Han,"Yes, I'll bet you have."
376,Han,Sorry about the mess.
377,Vader,Her resistance to the mind probe is considerable.  It will be some time before we can extract any information from her.
378,Imperial officer,The final check-out is complete.  All systems are operational.  What course shall we set?
379,Tarkin,Perhaps she would respond to an alternative form of persuasion.
380,Vader,What do you mean?
381,Tarkin,I think it is time we demonstrate the full power of this station.Set your course for Princess Leia's home planet of Alderaan.
382,Trooper,With pleasure.
383,Threepio,"Lock the door, Artoo."
384,Trooper,"All right, check that side of the street.  It's secure.  Move on to the next door."
385,Threepio,"I would much rather have gone with Master Luke than stay here with you.  I don't know what all this trouble is about, but I'm sure it must be your fault."
386,Threepio,You watch your language!
387,Luke,"He says it's the best he can do.  Since the XP-38 came out, they "
388,Ben,It will be enough.
389,Ben,"If the ship's as fast as he's boasting, we ought to do well."
390,Jabba,"Come on out, Solo!"
391,Han,"I've been waiting for you, Jabba."
392,Jabba,I expected you would be.
393,Han,I'm not the type to run.
394,Jabba,"Han, my boy, there are times when you disappoint me... why haven't you paid me?  And why did you have to fry poor Greedo like that... after all we've been through together."
395,Han,You sent Greedo to blast me.
396,Jabba,"Han, why you're the best smuggler in the business.  You're too valuable to fry.  He was only relaying my concern at your delays.  He wasn't going to blast you."
397,Han,"I think he thought he was.  Next time don't send one of those twerps.  If you've got something to say to me, come see me yourself."
398,Jabba,"Han, Han!  If only you hadn't had to dump that shipment of spice... you understand I just can't make an exception.  Where would I be if every pilot who smuggled for me dumped their shipment at the first sign of an Imperial starship?  It's not good business."
399,Han,"You know, even I get boarded sometimes, Jabba.  I had no choice, but I've gota charter now and I can pay you back, plus a little extra.  I just need some more time."
400,Jabba,"Put your blasters away.  Han, my boy, I'm only doing this because you're the best and I need you.  So, for an extra, say... twenty percent I'll give you a little more time... but this is it.  If you disappoint me again, I'll put a price on your head so large you won't be able to go near a civilized system for the rest of your short life."
401,Han,"Jabba, I'll pay you because it's my pleasure."
